,trialsIdx,conditions,rOri,lOri,xvals,respLoc,accuracy,targetLoc,RT,factor2
2500,458,1,1.0,-1.0,0.291182282,1,1,2,0.500513077,1
2501,459,0,1.0,-1.0,0.099749555,1,0,1,0.720836878,1
2503,461,1,-1.0,1.0,0.170426826,1,1,1,0.350061893,1
2506,464,0,-1.0,-1.0,0.02,1,1,1,0.586369514,1
2510,468,1,1.0,-1.0,0.058382673,1,1,2,0.29693985,1
2513,471,1,1.0,-1.0,0.099749555,1,1,2,0.38729167,1
2515,473,0,-1.0,1.0,0.291182282,1,1,1,0.389855862,1
2517,475,0,-1.0,-1.0,0.058382673,1,1,1,0.420108557,1
2518,476,1,1.0,1.0,0.099749555,1,1,2,0.285600901,1
2519,477,1,1.0,-1.0,0.170426826,1,1,2,0.358527422,1
2523,481,1,1.0,1.0,0.497498683,1,1,2,0.24997592,1
2524,482,1,1.0,-1.0,0.058382673,1,1,2,0.242236137,1
2528,486,1,1.0,1.0,0.497498683,1,1,2,0.264942169,1
2530,488,0,-1.0,1.0,0.099749555,1,1,1,0.56388402,1
2538,496,0,1.0,-1.0,0.034170945,1,1,2,0.340065002,1
2544,502,1,1.0,-1.0,0.170426826,1,1,2,0.281929731,1
2545,503,1,1.0,-1.0,0.497498683,1,1,2,0.293342829,1
2548,506,1,-1.0,-1.0,0.099749555,1,0,2,0.48164916,1
2549,507,1,1.0,1.0,0.034170945,1,0,1,0.310893774,1
2550,508,1,1.0,1.0,0.85,1,1,2,0.964552402,1
2551,509,1,1.0,1.0,0.02,1,1,2,0.251796961,1
2555,513,0,1.0,1.0,0.291182282,1,1,2,0.725125074,1
2562,520,0,1.0,1.0,0.291182282,1,0,1,0.568368912,1
2563,521,1,-1.0,1.0,0.034170945,1,0,2,0.414625883,1
2564,522,1,-1.0,-1.0,0.099749555,1,1,1,0.532580137,1
2566,524,1,1.0,1.0,0.85,1,1,2,0.32830143,1
2571,529,-1,1.0,-1.0,0.170426826,1,0,1,0.589343309,1
2575,533,1,-1.0,-1.0,0.034170945,1,0,2,0.270829201,1
2576,534,1,1.0,-1.0,0.02,1,0,1,0.435947657,1
2577,535,1,1.0,1.0,0.170426826,1,1,2,1.530974865,1
2579,537,0,-1.0,1.0,0.058382673,1,1,1,0.573828697,1
2580,538,1,1.0,-1.0,0.291182282,1,1,2,0.429506063,1
2582,540,1,1.0,-1.0,0.85,1,1,2,0.285095215,1
2584,542,1,1.0,-1.0,0.058382673,1,1,2,0.25362134,1
2586,544,1,1.0,-1.0,0.02,1,1,2,0.33147645,1
2587,545,1,-1.0,1.0,0.099749555,1,1,1,0.368142843,1
2588,546,1,-1.0,-1.0,0.85,1,1,1,0.531533718,1
2591,549,0,1.0,1.0,0.497498683,1,0,1,0.408675671,1
2592,550,1,1.0,-1.0,0.02,1,1,2,0.351362467,1
2593,551,1,1.0,-1.0,0.02,1,1,2,0.483706236,1
2595,553,0,-1.0,1.0,0.291182282,1,1,1,0.337378263,1
2598,556,1,1.0,1.0,0.291182282,1,0,1,0.421637297,1
2599,557,1,-1.0,-1.0,0.170426826,1,1,1,0.419161081,1
2600,558,1,1.0,-1.0,0.099749555,1,1,2,0.395057917,1
2601,559,1,1.0,1.0,0.291182282,1,1,2,0.283971786,1
2602,560,0,1.0,1.0,0.099749555,1,1,2,0.431572914,1
2605,563,-1,-1.0,1.0,0.099749555,1,1,1,0.510589838,1
2606,564,1,1.0,-1.0,0.497498683,1,1,2,0.314764977,1
2607,565,1,1.0,-1.0,0.02,1,1,2,0.255722046,1
2608,566,1,-1.0,-1.0,0.034170945,1,0,2,0.278935909,1
2609,567,1,1.0,1.0,0.291182282,1,1,2,0.465304613,1
2610,568,0,1.0,1.0,0.034170945,1,1,2,0.331721306,1
2611,569,0,1.0,-1.0,0.02,1,1,2,0.39232707,1
2612,570,1,1.0,1.0,0.170426826,1,1,2,0.305589676,1
2615,573,1,1.0,1.0,0.85,1,1,2,0.350182772,1
2616,574,1,1.0,-1.0,0.170426826,1,0,1,0.329000473,1
2617,575,-1,-1.0,-1.0,0.034170945,1,0,2,0.467164993,1
2618,576,1,1.0,1.0,0.291182282,1,1,2,0.3838377,1
2620,578,-1,-1.0,1.0,0.497498683,1,1,1,0.57183075,1
2624,582,0,-1.0,1.0,0.291182282,1,1,1,0.269366741,1
2625,583,0,-1.0,1.0,0.497498683,1,1,1,0.351214647,1
2626,584,0,1.0,1.0,0.291182282,1,1,2,0.467702389,1
2627,585,-1,1.0,1.0,0.058382673,1,1,2,0.666656494,1
2628,586,0,-1.0,1.0,0.85,1,1,1,0.417150021,1
2629,587,1,-1.0,1.0,0.497498683,1,1,1,0.514611483,1
2631,589,1,1.0,1.0,0.291182282,1,1,2,0.282399893,1
2632,590,-1,1.0,-1.0,0.85,1,1,2,0.479803085,1
2633,591,0,-1.0,1.0,0.170426826,1,1,1,0.37558651,1
2634,592,0,1.0,-1.0,0.291182282,1,1,2,0.40114665,1
2638,596,-1,-1.0,1.0,0.099749555,1,0,2,0.486524343,1
2639,597,-1,1.0,1.0,0.170426826,1,1,2,0.635960102,1
2640,598,1,-1.0,1.0,0.170426826,1,1,1,0.714820623,1
2647,604,0,1.0,1.0,0.170426826,1,1,2,0.43200016,1
2649,606,1,1.0,1.0,0.291182282,1,1,2,0.296891212,1
2650,607,1,1.0,1.0,0.058382673,1,1,2,0.242469549,1
2651,608,0,1.0,-1.0,0.85,1,1,2,0.514232874,1
2656,613,1,1.0,1.0,0.034170945,1,1,2,0.585728884,1
2657,614,1,-1.0,-1.0,0.85,1,1,1,0.612977982,1
2658,615,1,1.0,1.0,0.02,1,0,1,0.350226402,1
2659,616,-1,1.0,1.0,0.497498683,1,1,2,0.423448324,1
2662,619,1,-1.0,1.0,0.099749555,1,1,1,0.359259129,1
2664,621,1,-1.0,-1.0,0.291182282,1,1,1,0.312786818,1
2665,622,1,1.0,-1.0,0.85,1,1,2,0.324692011,1
2667,624,0,-1.0,-1.0,0.170426826,1,1,1,0.367995977,1
2671,628,-1,-1.0,-1.0,0.497498683,1,1,1,0.41388917,1
2674,631,1,1.0,1.0,0.034170945,1,0,1,0.301209211,1
2675,632,1,1.0,1.0,0.291182282,1,1,2,0.310220957,1
2677,634,0,1.0,1.0,0.85,1,0,1,0.544424772,1
2679,636,1,1.0,1.0,0.099749555,1,0,1,0.79770112,1
2680,637,1,1.0,-1.0,0.034170945,1,1,2,0.542617559,1
2681,638,1,1.0,-1.0,0.02,1,1,2,0.240685463,1
2682,639,-1,-1.0,1.0,0.291182282,1,1,1,0.960672855,1
2683,640,1,1.0,1.0,0.02,1,1,2,0.291522026,1
2684,641,1,-1.0,-1.0,0.291182282,1,1,1,0.372007132,1
2686,643,0,-1.0,-1.0,0.291182282,1,0,2,0.55640173,1
2688,645,1,-1.0,-1.0,0.02,1,1,1,0.341240883,1
2690,647,1,-1.0,1.0,0.170426826,1,1,1,0.362303019,1
2691,648,1,1.0,-1.0,0.099749555,1,1,2,0.548738003,1
2692,649,1,1.0,-1.0,0.85,1,1,2,0.245932102,1
2693,650,-1,-1.0,-1.0,0.099749555,1,0,2,0.469400883,1
2694,651,0,-1.0,-1.0,0.85,1,1,1,0.313124657,1
2696,653,1,-1.0,1.0,0.291182282,1,1,1,0.456683159,1
2699,656,1,-1.0,-1.0,0.02,1,1,1,0.339958906,1
2702,659,-1,-1.0,1.0,0.170426826,1,1,1,0.313210011,1
2705,662,0,-1.0,-1.0,0.170426826,1,1,1,0.36175251,1
2711,668,-1,1.0,-1.0,0.02,1,1,2,0.409843206,1
2713,670,1,1.0,1.0,0.034170945,1,0,1,0.513884068,1
2716,673,1,1.0,1.0,0.058382673,1,0,1,0.416902542,1
2718,675,1,1.0,1.0,0.058382673,1,1,2,0.807121992,1
2719,676,1,-1.0,-1.0,0.02,1,1,1,0.433721304,1
2720,677,-1,-1.0,-1.0,0.058382673,1,1,1,0.346329927,1
2724,681,1,-1.0,-1.0,0.85,1,1,1,0.301078081,1
2725,682,1,1.0,1.0,0.170426826,1,0,1,0.402734995,1
2727,684,1,1.0,1.0,0.058382673,1,1,2,0.456062078,1
2728,685,0,-1.0,-1.0,0.291182282,1,1,1,0.3830235,1
2729,686,1,-1.0,-1.0,0.497498683,1,1,1,0.318913221,1
2730,687,1,1.0,-1.0,0.497498683,1,1,2,0.362920284,1
