,trialsIdx,conditions,rOri,lOri,xvals,respLoc,accuracy,targetLoc,RT,factor2
1989,1148,1,1.0,-1.0,0.291182282,2,1,1,0.684239864,0
1991,1150,1,-1.0,-1.0,0.099749555,2,0,2,0.704089403,0
1992,1151,1,1.0,-1.0,0.497498683,2,1,1,0.465174913,0
1993,1152,1,1.0,1.0,0.099749555,2,1,2,0.525771141,0
1997,1156,1,-1.0,1.0,0.099749555,2,0,1,0.691488028,0
1999,1158,-1,-1.0,-1.0,0.058382673,2,1,1,0.51850605,0
2000,1159,0,1.0,-1.0,0.034170945,2,0,2,0.667013168,0
2002,1161,-1,-1.0,1.0,0.058382673,2,0,1,0.451472282,0
2003,1162,1,1.0,1.0,0.170426826,2,1,2,0.345638275,0
2004,1163,1,1.0,1.0,0.099749555,2,1,2,0.445612907,0
2005,1164,0,-1.0,1.0,0.034170945,2,0,1,0.367695093,0
2007,1166,1,1.0,-1.0,0.85,2,1,1,0.440134048,0
2009,1168,0,1.0,-1.0,0.058382673,2,1,1,0.380367279,0
2010,1169,1,1.0,-1.0,0.497498683,2,1,1,0.340668678,0
2012,1171,1,1.0,1.0,0.170426826,2,1,2,0.311490297,0
2013,1172,1,-1.0,-1.0,0.058382673,2,1,1,0.50475502,0
2014,1173,-1,-1.0,-1.0,0.099749555,2,0,2,0.615057945,0
2016,1175,1,-1.0,-1.0,0.170426826,2,0,2,0.567783117,0
2018,1177,1,1.0,1.0,0.058382673,2,0,1,0.481692314,0
2020,1179,1,-1.0,1.0,0.497498683,2,1,2,0.326276779,0
2021,1180,-1,1.0,-1.0,0.058382673,2,1,1,0.457853794,0
2023,1182,1,-1.0,-1.0,0.291182282,2,1,1,0.505402088,0
2028,1187,1,-1.0,-1.0,0.058382673,2,1,1,0.385806322,0
2029,1188,0,-1.0,1.0,0.034170945,2,1,2,0.433531761,0
2032,1191,1,-1.0,-1.0,0.02,2,1,1,0.430317163,0
2034,1193,0,-1.0,1.0,0.034170945,2,0,1,0.56505084,0
